#Tools,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,9198,Port:10,0,0,0,Enabled,0.568408,-0.314655,-0.132838,0.748504,-44.6694,-1.45297,-78.904,0.0572752,0
,,9206,Port:10,0,0,0,Enabled,0.568545,-0.314813,-0.132579,0.74838,-44.7567,-1.14328,-79.1484,0.0565943,0
,,9214,Port:10,0,0,0,Enabled,0.568573,-0.315181,-0.132561,0.748206,-44.9017,-0.850712,-79.4039,0.0564667,0
,,9222,Port:10,0,0,0,Enabled,0.568519,-0.315354,-0.132929,0.74811,-45.0978,-0.642757,-79.6444,0.0559917,0
,,9246,Port:10,0,0,0,Enabled,0.568587,-0.315518,-0.133109,0.747957,-45.5361,0.131349,-80.293,0.0547574,0
,,9254,Port:10,0,0,0,Enabled,0.568445,-0.315803,-0.13311,0.747945,-45.6301,0.366876,-80.5279,0.0566222,0
,,9270,Port:10,0,0,0,Enabled,0.568334,-0.315927,-0.133467,0.747912,-45.8886,0.741539,-80.9074,0.054303,0
,,9286,Port:10,0,0,0,Enabled,0.568005,-0.316447,-0.133202,0.74799,-45.9101,1.09719,-81.3303,0.0570515,0
,,9302,Port:10,0,0,0,Enabled,0.56848,-0.316433,-0.1331,0.747653,-45.8812,1.23531,-81.6293,0.0549445,0
,,9318,Port:10,0,0,0,Enabled,0.568127,-0.316616,-0.132857,0.747887,-45.8151,1.08947,-81.8668,0.0570898,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,15678,Port:10,0,0,0,Enabled,0.40517,-0.20743,-0.471192,0.755505,16.924,-72.0398,-63.0347,0.0353737,0
,,15686,Port:10,0,0,0,Enabled,0.405646,-0.207133,-0.471356,0.755229,16.8329,-72.0664,-63.0228,0.0389453,0
,,15694,Port:10,0,0,0,Enabled,0.405929,-0.206954,-0.471577,0.754988,16.7346,-72.0625,-63.009,0.0388864,0
,,15710,Port:10,0,0,0,Enabled,0.406599,-0.206873,-0.471726,0.754556,16.5024,-72.068,-62.8801,0.0361453,0
,,15726,Port:10,0,0,0,Enabled,0.406913,-0.206953,-0.472005,0.754191,16.3335,-72.1642,-62.8645,0.0392309,0
,,15742,Port:10,0,0,0,Enabled,0.406301,-0.207518,-0.471977,0.754383,16.3348,-72.2482,-62.8973,0.0470311,0
,,15758,Port:10,0,0,0,Enabled,0.405897,-0.208106,-0.471945,0.754458,16.3871,-72.1906,-63.0304,0.0552184,0
,,15774,Port:10,0,0,0,Enabled,0.405235,-0.208639,-0.471701,0.75482,16.5585,-72.0001,-63.1817,0.0674575,0
,,15790,Port:10,0,0,0,Enabled,0.404539,-0.209452,-0.47128,0.755231,16.7111,-71.758,-63.3407,0.0752076,0
,,15806,Port:10,0,0,0,Enabled,0.405072,-0.209072,-0.470859,0.755314,17.0348,-71.3627,-63.5174,0.0543407,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,16702,Port:10,0,0,0,Enabled,0.394677,-0.302191,-0.505829,0.705016,-76.9069,-81.1621,-66.5281,0.132567,0
,,16710,Port:10,0,0,0,Enabled,0.394316,-0.302551,-0.505599,0.705228,-76.7695,-81.0694,-66.544,0.135004,0
,,16718,Port:10,0,0,0,Enabled,0.39343,-0.302996,-0.505428,0.705655,-76.6434,-81.0065,-66.5775,0.135308,0
,,16734,Port:10,0,0,0,Enabled,0.394973,-0.303047,-0.504743,0.705261,-76.5001,-80.7587,-66.6547,0.135536,0
,,16750,Port:10,0,0,0,Enabled,0.395462,-0.303426,-0.504462,0.705025,-76.2059,-80.7203,-66.7576,0.137582,0
,,16766,Port:10,0,0,0,Enabled,0.39519,-0.302968,-0.50466,0.705233,-75.9377,-81.0497,-66.8177,0.136064,0
,,16782,Port:10,0,0,0,Enabled,0.39583,-0.303014,-0.50499,0.704617,-75.8128,-81.194,-66.9159,0.136766,0
,,16798,Port:10,0,0,0,Enabled,0.395355,-0.30355,-0.504401,0.705076,-75.6185,-81.1688,-66.892,0.135343,0
,,16814,Port:10,0,0,0,Enabled,0.396092,-0.303919,-0.503852,0.704896,-75.5306,-80.9097,-66.8878,0.137694,0
,,16830,Port:10,0,0,0,Enabled,0.395805,-0.30443,-0.50363,0.704995,-75.479,-80.8269,-67.0183,0.138471,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,16702,Port:10,0,0,0,Enabled,0.394677,-0.302191,-0.505829,0.705016,-76.9069,-81.1621,-66.5281,0.132567,0
,,16710,Port:10,0,0,0,Enabled,0.394316,-0.302551,-0.505599,0.705228,-76.7695,-81.0694,-66.544,0.135004,0
,,16718,Port:10,0,0,0,Enabled,0.39343,-0.302996,-0.505428,0.705655,-76.6434,-81.0065,-66.5775,0.135308,0
,,16734,Port:10,0,0,0,Enabled,0.394973,-0.303047,-0.504743,0.705261,-76.5001,-80.7587,-66.6547,0.135536,0
,,16750,Port:10,0,0,0,Enabled,0.395462,-0.303426,-0.504462,0.705025,-76.2059,-80.7203,-66.7576,0.137582,0
,,16766,Port:10,0,0,0,Enabled,0.39519,-0.302968,-0.50466,0.705233,-75.9377,-81.0497,-66.8177,0.136064,0
,,16782,Port:10,0,0,0,Enabled,0.39583,-0.303014,-0.50499,0.704617,-75.8128,-81.194,-66.9159,0.136766,0
,,16798,Port:10,0,0,0,Enabled,0.395355,-0.30355,-0.504401,0.705076,-75.6185,-81.1688,-66.892,0.135343,0
,,16814,Port:10,0,0,0,Enabled,0.396092,-0.303919,-0.503852,0.704896,-75.5306,-80.9097,-66.8878,0.137694,0
,,16830,Port:10,0,0,0,Enabled,0.395805,-0.30443,-0.50363,0.704995,-75.479,-80.8269,-67.0183,0.138471,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,18726,Port:10,0,0,0,Enabled,0.471731,-0.725273,-0.220811,0.450212,-104.277,64.2577,-64.4367,0.0476868,0
,,18734,Port:10,0,0,0,Enabled,0.471611,-0.725163,-0.220768,0.450537,-104.406,64.2126,-64.4798,0.0538546,0
,,18750,Port:10,0,0,0,Enabled,0.472474,-0.725375,-0.221675,0.448842,-104.275,64.1611,-64.7623,0.050816,0
,,18774,Port:10,0,0,0,Enabled,0.473084,-0.72567,-0.221073,0.448019,-103.978,64.2412,-65.2196,0.0540406,0
,,18782,Port:10,0,0,0,Enabled,0.473202,-0.725578,-0.22044,0.448355,-103.812,64.2319,-65.2865,0.048013,0
,,18798,Port:10,0,0,0,Enabled,0.472847,-0.725364,-0.219794,0.449394,-103.711,64.183,-65.4426,0.0532867,0
,,18814,Port:10,0,0,0,Enabled,0.473033,-0.725203,-0.220469,0.449126,-103.709,64.0028,-65.5993,0.0528889,0
,,18830,Port:10,0,0,0,Enabled,0.473612,-0.724939,-0.221206,0.448579,-103.818,63.7542,-65.6455,0.0525459,0
,,18846,Port:10,0,0,0,Enabled,0.472785,-0.724826,-0.221059,0.449706,-104.061,63.4684,-65.5318,0.054516,0
,,18862,Port:10,0,0,0,Enabled,0.47448,-0.724692,-0.221739,0.447797,-104.173,63.4669,-65.5416,0.0574622,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
